ID,Age,Ethnicity,Education,Income,Gender,Gender_4_TEXT,Party,Sup_MP1_1,Jus_MP1_1,Like_MP1_1,Sup_MP2_1,Jus_MP2_1,Like_MP2_1,Sup_MP3_1,Jus_MP3_1,Like_MP3_1,Sup_MP4_1,Jus_MP4_1,Like_MP4_1,Sup_MP5_1,Jus_MP5_1,Like_MP5_1,Sup_OG1_1,Jus_OG1_1,Like_OG1_1,Sup_OG2_1,Jus_OG2_1,Like_OG2_1,Sup_OG3_1,Jus_OG3_1,Like_OG3_1,Sup_OG4_1,Jus_OG4_1,Like_OG4_1,Sup_OG5_1,Jus_OG5_1,Like_OG5_1,Sup_IP1_1,Jus_IP1_1,Like_IP1_1,Sup_IP2_1,Jus_IP2_1,Like_IP2_1,Sup_IP3_1,Jus_IP3_1,Like_IP3_1,Sup_IP4_1,Jus_IP4_1,Like_IP4_1,Sup_IP5_1,Jus_IP5_1,Like_IP5_1,Comp,Comment,Condition,Comprehend
R_3eqOJMuTe7AKYzU,35-54,Non-Hispanic White,Some College (No Degree),$50K - $100K,Male,,Democrat,,,,,,,,,,,,,,,,100,100,100,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,Republican Party,had fun,Actual-P Condition,Pass
R_RCtNMY41jCmG3br,18-34,Non-Hispanic Black,Some College (No Degree),$50K - $100K,Female,,Democrat,83,95,88,92,91,85,94,83,86,87,79,95,100,70,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,No,Meta-P Condition,Pass
R_3CKiZfywf2MYVus,18-34,Non-Hispanic Black,Some College (No Degree),$0 - $50K,Female,,Democrat,55,59,59,53,51,60,100,100,100,56,76,77,1,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_3fMCXTm9fWhpUcL,35-54,Non-Hispanic White,College Degree,$50K - $100K,Female,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,65,62,93,92,89,96,99,96,64,75,70,82,29,83,Democratic Party,Nope,Ingroup-P Condition,Pass
R_1ginPw0otBO62ug,35-54,Asian,College Degree,$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,39,33,57,58,53,64,36,66,62,44,62,38,58,63,Republican Party,None ,Ingroup-P Condition,Pass
R_3oWQ4jxPAA5LM5T,35-54,Non-Hispanic White,HS Diploma/GED or Less,$0 - $50K,Female,,Republican,56,50,49,52,49,50,50,51,50,51,50,46,49,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,no,Meta-P Condition,Pass
R_27kzuyDVVqg2Y1S,18-34,Non-Hispanic White,College Degree,$100K - $200K,Female,,Democrat,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_3dSoydFB5pzU3yN,18-34,Non-Hispanic White,College Degree,$50K - $100K,Female,,Republican,,,,,,,,,,,,,,,,80,82,90,1,1,1,95,87,81,14,20,3,82,74,73,,,,,,,,,,,,,,,,Democratic Party,I wish the questions were ones that affected middle class people more,Actual-P Condition,Pass
R_29mQpZXC4puU4r0,18-34,Non-Hispanic White,Graduate Degree,$50K - $100K,Female,,Republican,,,,,,,,,,,,,,,,72,63,43,82,83,75,61,22,1,36,22,6,67,69,77,,,,,,,,,,,,,,,,Democratic Party,,Actual-P Condition,Pass
R_ysWVw7qsEn6TbuF,35-54,Non-Hispanic White,College Degree,$50K - $100K,Female,,Republican,,,,,,,,,,,,,,,,100,100,100,14,16,1,100,100,100,50,50,50,50,50,50,,,,,,,,,,,,,,,,Democratic Party,No thank you ,Actual-P Condition,Pass
R_29gMfqFxje9Z3PJ,18-34,Non-Hispanic White,Graduate Degree,$50K - $100K,Female,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,28,92,93,10,100,100,100,100,9,1,1,29,10,70,Democratic Party,,Ingroup-P Condition,Pass
R_1P79Q6Bx3FV0cg3,35-54,Non-Hispanic White,Graduate Degree,$100K - $200K,Female,,Democrat,79,82,98,61,32,95,69,73,59,12,21,72,100,25,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_3j7YX6l1zXEjbow,18-34,Non-Hispanic White,HS Diploma/GED or Less,$50K - $100K,Female,,Democrat,100,100,100,100,100,100,100,100,100,100,100,100,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,"Nope, it was a good survey, no too long.",Meta-P Condition,Pass
R_2wNtLOGNUJ2pVrS,55+,Non-Hispanic White,Some College (No Degree),$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,91,100,98,25,73,27,100,100,100,23,75,23,79,38,79,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_2XojWpzj3M7SUSW,55+,Non-Hispanic Black,College Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,100,92,90,85,100,100,95,74,100,91,79,100,83,89,Republican Party,NO COMMENT,Ingroup-P Condition,Pass
R_2a8pZPXehdRidQ2,55+,Non-Hispanic White,College Degree,$0 - $50K,Female,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,81,79,87,86,84,83,86,98,70,69,68,69,74,70,Democratic Party,,Ingroup-P Condition,Pass
R_2vYVhXsj3yt7WbC,18-34,"American Ind./Alaskan Native, or Other",College Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,34,38,40,79,80,76,87,84,90,74,80,81,50,30,24,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_2CCJGyBn010PakZ,18-34,Non-Hispanic White,HS Diploma/GED or Less,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,72,71,70,32,33,35,71,72,72,29,26,31,41,40,40,,,,,,,,,,,,,,,,Republican Party,n/a,Actual-P Condition,Pass
R_0V2sLYwmSoUuwAp,35-54,Non-Hispanic White,Graduate Degree,$100K - $200K,Female,,Republican,71,82,84,100,96,87,3,23,3,100,84,100,81,80,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,"No, I think the topics we're something to think about.",Meta-P Condition,Pass
R_1F4a4j14FI6UOs5,35-54,Non-Hispanic White,Graduate Degree,$50K - $100K,Female,,Democrat,72,78,74,83,1,62,28,,81,73,49,88,10,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_3JeFT7hjfhlSkxw,18-34,Non-Hispanic White,Some College (No Degree),$0 - $50K,Male,,Democrat,,,,,,,,,,,,,,,,81,69,79,16,15,11,100,99,100,1,1,1,38,41,42,,,,,,,,,,,,,,,,Republican Party,No.,Actual-P Condition,Pass
R_Z8Hmc9SguRM0UQ9,55+,Non-Hispanic White,HS Diploma/GED or Less,$0 - $50K,Female,,Republican,,,,,,,,,,,,,,,,100,100,100,65,72,71,100,76,72,1,1,1,14,30,1,,,,,,,,,,,,,,,,Democratic Party,,Actual-P Condition,Pass
R_1jQjBZvlW6nYr9U,35-54,Non-Hispanic White,College Degree,$50K - $100K,Female,,Republican,94,90,89,100,100,100,57,64,42,95,95,95,23,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,,Meta-P Condition,Pass
R_1Qo75Zy1Me33wN9,18-34,Non-Hispanic White,HS Diploma/GED or Less,$0 - $50K,Male,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,84,83,75,75,87,89,100,93,83,67,83,99,89,100,Republican Party,,Ingroup-P Condition,Pass
R_1oqgc6vKppUvuD8,35-54,Non-Hispanic White,Graduate Degree,$50K - $100K,Male,,Democrat,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_2fpKPbMPoSUK0Op,35-54,Non-Hispanic White,Graduate Degree,$100K - $200K,Female,,Republican,88,95,86,79,94,88,93,100,95,89,100,86,91,90,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,No,Meta-P Condition,Pass
R_cwkjSUzYzayQ957,18-34,Non-Hispanic White,Some College (No Degree),$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,87,75,36,32,61,76,85,77,11,9,11,100,79,78,Republican Party,,Ingroup-P Condition,Pass
R_2qf0IcfiNuNq0CO,18-34,Non-Hispanic White,HS Diploma/GED or Less,$0 - $50K,Female,,Republican,100,78,99,77,80,85,88,83,88,89,90,98,89,98,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,Not,Meta-P Condition,Pass
R_AsrhfEGfB4rLNlf,55+,Non-Hispanic White,Some College (No Degree),$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,84,80,62,62,60,79,21,81,7,11,9,30,20,29,Republican Party,,Ingroup-P Condition,Pass
R_ukcO14wzlCi4adj,55+,Non-Hispanic Black,Graduate Degree,$0 - $50K,Female,,Democrat,,,30,,54,,18,26,13,100,98,97,20,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,No,Meta-P Condition,Pass
R_3e1OaD70sQVT9to,35-54,Non-Hispanic White,Some College (No Degree),$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,90,74,81,68,85,100,100,100,100,96,78,99,82,22,Republican Party,,Ingroup-P Condition,Pass
R_2viaY9KB7sfI8d4,35-54,Non-Hispanic White,HS Diploma/GED or Less,$100K - $200K,Female,,Democrat,,,,,,,,,,,,,,,,91,92,93,1,1,1,82,71,84,1,1,1,20,20,20,,,,,,,,,,,,,,,,Republican Party,Not at this time,Actual-P Condition,Pass
R_3g7O2xtGlBiJaJj,35-54,Non-Hispanic Black,College Degree,$0 - $50K,Male,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,72,76,75,72,75,100,100,100,76,59,78,70,76,76,Republican Party,,Ingroup-P Condition,Pass
R_1mCx3Ez2SFQH9yz,35-54,Non-Hispanic White,Graduate Degree,$100K - $200K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,36,32,69,63,76,82,68,93,1,1,1,34,29,59,Republican Party,,Ingroup-P Condition,Pass
R_8qqNFgbVhgwPEHL,55+,Non-Hispanic White,Some College (No Degree),$0 - $50K,Female,,Republican,100,100,100,100,98,100,100,100,100,97,90,79,1,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,None,Meta-P Condition,Pass
R_3Rhqyk43q2rhm8N,18-34,Hispanic,Some College (No Degree),$0 - $50K,Female,,Republican,74,76,65,85,81,81,82,77,78,60,63,68,1,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,,Meta-P Condition,Pass
R_11XAldF9DGLCgBM,55+,Non-Hispanic White,HS Diploma/GED or Less,$0 - $50K,Female,,Republican,87,86,91,84,85,82,95,92,94,44,42,41,80,75,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,,Meta-P Condition,Pass
R_24i62dqO9UhbCTz,18-34,Non-Hispanic Black,College Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,50,3,53,89,84,100,100,100,100,79,81,81,Republican Party,,Ingroup-P Condition,Pass
R_3Dngpg6y3CAVPGW,55+,Non-Hispanic White,Some College (No Degree),$50K - $100K,Female,,Republican,100,100,100,100,100,100,100,100,100,90,82,100,8,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,,Meta-P Condition,Pass
R_3KCnbUMvCGcwxq8,18-34,Non-Hispanic White,College Degree,$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,28,4,91,74,72,85,86,72,30,18,33,63,29,55,Republican Party,"No,  but thank you for allowing me to participate in this survey!",Ingroup-P Condition,Pass
R_1o4RH2MaSRM29p3,35-54,Non-Hispanic White,HS Diploma/GED or Less,$0 - $50K,Male,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,Democratic Party,great survey,Ingroup-P Condition,Pass
R_2X1feVpFgUd487k,18-34,Hispanic,College Degree,$50K - $100K,Male,,Democrat,,,,,,,,,,,,,,,,100,100,100,1,1,1,82,72,100,1,1,1,100,100,100,,,,,,,,,,,,,,,,Republican Party,no other comments,Actual-P Condition,Pass
R_1MJT78oR0Dw5kbU,55+,Hispanic,Graduate Degree,$50K - $100K,Female,,Democrat,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_3rOoLk23zLx1LOo,35-54,Hispanic,College Degree,$0 - $50K,Female,,Democrat,37,50,41,50,37,46,70,38,51,29,42,31,34,39,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_21vtRSk7xrSDHdn,18-34,Hispanic,Some College (No Degree),Prefer not to say,Female,,Republican,100,100,100,100,89,100,100,100,100,100,100,100,100,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,Nothing to said,Meta-P Condition,Pass
R_1OUmKEs4EEEzYSl,35-54,Non-Hispanic White,Some College (No Degree),$200K+,Male,,Republican,100,98,1,99,100,1,100,100,1,100,96,2,100,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,very good,Meta-P Condition,Pass
R_3RxaCI32bEMJpsm,18-34,Non-Hispanic White,College Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,49,50,50,90,71,82,1,1,1,9,1,1,50,52,51,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_vl66lZmBINWPV0l,55+,Non-Hispanic White,HS Diploma/GED or Less,$0 - $50K,Male,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,100,93,1,1,67,82,100,100,100,100,96,94,91,93,Republican Party,no none thank you,Ingroup-P Condition,Pass
R_1DwBCxe8Uay1jk9,18-34,Hispanic,College Degree,$100K - $200K,Female,,Republican,98,79,88,94,82,87,68,77,81,74,66,85,93,83,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,,Meta-P Condition,Pass
R_1dHq8B2yfxPeZHm,35-54,Non-Hispanic Black,HS Diploma/GED or Less,$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,96,89,100,82,84,70,65,68,94,75,56,1,74,90,70,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_2VdrfipEtnhDOiS,18-34,Hispanic,Graduate Degree,$0 - $50K,Male,,Democrat,15,13,92,84,3,92,80,89,18,90,95,100,82,6,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,I honestly do not have any relevant comments to mention about this survey,Meta-P Condition,Pass
R_2AKJ3qxXEpJLqLo,18-34,Non-Hispanic Black,HS Diploma/GED or Less,$0 - $50K,Female,,Democrat,100,8,40,32,28,35,74,31,34,31,23,86,78,37,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,No comment ,Meta-P Condition,Pass
R_3R9KXLlWH4BlJ2U,35-54,Non-Hispanic White,College Degree,$100K - $200K,Male,,Republican,,,,,,,,,,,,,,,,57,58,63,59,58,57,70,68,58,64,66,63,63,70,61,,,,,,,,,,,,,,,,Democratic Party,,Actual-P Condition,Pass
R_3phGy8HR1sMe4Ca,35-54,Hispanic,College Degree,$50K - $100K,Female,,Democrat,100,100,67,100,100,74,99,100,30,96,85,45,79,91,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,very good,Meta-P Condition,Pass
R_1jqr1giDJtZlyVJ,18-34,Hispanic,Some College (No Degree),$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,85,21,76,100,50,100,50,50,50,50,50,50,50,50,49,,,,,,,,,,,,,,,,Republican Party,i do not,Actual-P Condition,Pass
R_3fYGyAMSO9ZN2oi,35-54,Non-Hispanic Black,Some College (No Degree),Prefer not to say,Female,,Democrat,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_22y9BwSGPIALnUW,18-34,Hispanic,Some College (No Degree),$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,77,80,82,92,89,79,81,100,66,42,41,77,80,76,Republican Party,No I do not,Ingroup-P Condition,Pass
R_3jfxbskdrzll8P3,35-54,Hispanic,Some College (No Degree),$0 - $50K,Male,,Republican,95,91,92,98,97,93,92,95,95,80,76,78,94,96,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,great survey,Meta-P Condition,Pass
R_2txu98eNthU6W4k,35-54,Non-Hispanic White,Graduate Degree,$100K - $200K,Male,,Democrat,98,96,90,96,86,91,93,95,85,88,92,92,91,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,no,Meta-P Condition,Pass
R_28Yf2DazBtAsW28,55+,Non-Hispanic White,College Degree,$50K - $100K,Male,,Republican,,,,,,,,,,,,,,,,100,100,100,37,23,20,59,88,83,81,67,82,1,100,100,,,,,,,,,,,,,,,,Democratic Party,none,Actual-P Condition,Pass
R_DvsoqtXLYl23NYJ,35-54,Non-Hispanic Black,College Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,84,80,82,71,81,84,78,79,80,78,72,73,66,80,80,,,,,,,,,,,,,,,,Republican Party,no,Actual-P Condition,Pass
R_1DLJb0C1sXhkhX0,35-54,Hispanic,College Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,15,1,11,1,1,1,26,29,33,1,1,1,1,10,1,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_1Fml8GCHev0GNwR,35-54,Asian,College Degree,$100K - $200K,Male,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,99,100,82,91,82,100,99,100,81,71,81,2,1,1,Republican Party,,Ingroup-P Condition,Pass
R_3Gm1GIR0sGqtWuD,18-34,Hispanic,Some College (No Degree),$0 - $50K,Female,,Democrat,100,100,100,100,100,100,100,100,99,100,100,100,99,94,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,No,Meta-P Condition,Pass
R_UMgdLCKn5LDbXqN,35-54,Asian,College Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,30,26,31,37,34,34,37,34,44,38,42,33,31,32,Republican Party,none,Ingroup-P Condition,Pass
R_b7dcCxBZYPiUtTr,18-34,Hispanic,College Degree,$100K - $200K,Female,,Democrat,39,36,38,31,31,31,40,26,34,30,32,31,34,30,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,"no
",Meta-P Condition,Pass
R_25RfingXeOvHXvC,35-54,Non-Hispanic Black,HS Diploma/GED or Less,$0 - $50K,Female,,Democrat,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,No,Meta-P Condition,Pass
R_2qkJ8Bga15tmSKo,18-34,Hispanic,Some College (No Degree),$50K - $100K,Male,,Democrat,73,88,85,80,91,84,74,90,90,83,75,96,75,84,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_3Q03sUOr2JA34zJ,18-34,Hispanic,College Degree,$50K - $100K,Female,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,90,97,98,94,97,96,75,100,95,94,97,96,92,95,Democratic Party,ry,Ingroup-P Condition,Pass
R_RJNtcZfgAqcHRGV,35-54,Non-Hispanic White,College Degree,$50K - $100K,Male,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,39,66,77,79,80,79,73,82,77,72,88,75,71,80,Republican Party,none,Ingroup-P Condition,Pass
R_9ukMwfYNKSCzqqB,18-34,Hispanic,Some College (No Degree),$0 - $50K,Female,,Democrat,25,15,1,1,62,30,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_3iEm9Z3vYmVsub0,35-54,Hispanic,Some College (No Degree),$0 - $50K,Female,,Republican,74,71,92,100,100,100,95,84,77,100,100,100,88,89,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,it was fine,Meta-P Condition,Pass
R_3OjER1CvfvE17aO,18-34,Non-Hispanic Black,College Degree,$100K - $200K,Male,,Democrat,,,,,,,,,,,,,,,,98,93,98,100,93,99,99,94,99,88,99,100,95,96,100,,,,,,,,,,,,,,,,Republican Party,,Actual-P Condition,Pass
R_Ryit1Sfa2uQelah,35-54,Hispanic,College Degree,$100K - $200K,Male,,Democrat,95,88,98,100,94,100,89,83,83,88,96,99,100,92,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,Thanks,Meta-P Condition,Pass
R_2npZlJzatj39hq9,35-54,Non-Hispanic White,Graduate Degree,$100K - $200K,Male,,Republican,100,100,1,3,91,100,98,98,97,100,100,100,100,100,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican Party,my favourite survey ,Meta-P Condition,Pass
R_8qOhb9lrM1bvJvj,55+,Non-Hispanic Black,Graduate Degree,$0 - $50K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,70,71,4,59,24,100,93,100,1,10,8,92,100,100,Republican Party,"no none,",Ingroup-P Condition,Pass
R_33kXrMNLfkpbzJ7,55+,Hispanic,Some College (No Degree),$0 - $50K,Male,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,81,91,10,9,19,71,92,82,19,19,39,80,70,61,Republican Party,none,Ingroup-P Condition,Pass
R_2TZXIYgVBKPFQNR,35-54,Hispanic,HS Diploma/GED or Less,$50K - $100K,Female,,Democrat,77,90,81,78,73,77,68,76,89,76,86,80,72,76,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_3EAT9cwSujB24yM,18-34,Non-Hispanic White,Some College (No Degree),$0 - $50K,Female,,Democrat,100,100,100,58,61,55,100,100,100,100,100,100,82,85,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_r1jufSpR4YZ7w1b,55+,Hispanic,Graduate Degree,$50K - $100K,Male,,Democrat,,,,,,,,,,,,,,,,93,87,100,90,100,93,71,78,83,58,59,57,76,87,87,,,,,,,,,,,,,,,,Republican Party,Thanks for nice short good survey ,Actual-P Condition,Pass
R_10V4DVPZoPl7pHN,18-34,Hispanic,College Degree,$100K - $200K,Male,,Democrat,71,66,56,64,70,69,74,78,80,47,82,63,78,82,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_22Xovlpn4qbTFWS,18-34,Hispanic,HS Diploma/GED or Less,$0 - $50K,Female,,Democrat,58,57,64,100,100,100,79,45,80,64,62,56,72,61,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democratic Party,,Meta-P Condition,Pass
R_1rvGZ7Hu62rSiEo,18-34,Non-Hispanic Black,College Degree,$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,99,95,99,98,99,94,81,91,84,100,83,97,94,100,Republican Party,It was insightful,Ingroup-P Condition,Pass
R_6olRZE6zSpxk1oZ,55+,Hispanic,Some College (No Degree),$50K - $100K,Female,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,61,61,41,1,1,80,100,81,20,30,19,73,1,63,Republican Party,no,Ingroup-P Condition,Pass
